player_id,player_display_name,position,season,week,season_type,game_id,team,opponent_team,completions,attempts,passing_yards,passing_tds,passing_interceptions,passing_2pt_conversions,carries,rushing_yards,rushing_tds,rushing_fumbles_lost,receptions,targets,receiving_yards,receiving_tds,special_teams_tds
00-QB1,K. Passer,QB,2099,1,REG,2099_01_STL_KC,KC,STL,25,35,300,2,1,1,4,12,1,1,0,0,0,0,0
00-WR1,K. Wideout,WR,2099,1,REG,2099_01_STL_KC,KC,STL,0,0,,NA,,0,0,0,0,0,8,11,110,1,0
00-RB1,K. Back,RB,2099,1,REG,2099_01_STL_KC,KC,STL,0,0,0,0,0,0,14,70,1,0,2,3,15,0,0
00-TE1,K. Tight,TE,2099,1,REG,2099_01_STL_KC,KC,STL,0,0,0,0,0,0,0,0,0,0,3,4,30,0,0
00-K1,K. Kicker,K,2099,1,REG,2099_01_STL_KC,KC,STL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00-CB1,K. Corner,CB,2099,1,REG,2099_01_STL_KC,KC,STL,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1
00-GH1,K. Ghost,WR,2099,1,REG,2099_01_STL_KC,KC,,0,0,0,0,0,0,0,0,0,0,9,9,999,9,0
01-QB1,R. Passer,QB,2099,1,REG,2099_01_STL_KC,STL,KC,18,30,200,1,2,0,2,0,0,0,0,0,0,0,0
01-WR1,R. Wideout,WR,2099,1,REG,2099_01_STL_KC,STL,KC,0,0,0,0,0,0,0,0,0,0,5,8,60,0,0
01-RB1,R. Back,RB,2099,1,REG,2099_01_STL_KC,STL,KC,0,0,0,0,0,0,20,100,1,1,0,1,0,0,0
01-TE1,R. Tight,TE,2099,1,REG,2099_01_STL_KC,STL,KC,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0
02-QB1,B. Passer,QB,2099,2,REG,2099_02_BUF_MIA,BUF,MIA,22,33,250,2,0,0,1,3,0,0,0,0,0,0,0
02-WR1,B. Wideout,WR,2099,2,REG,2099_02_BUF_MIA,BUF,MIA,0,0,0,0,0,0,0,0,0,0,6,9,80,1,0
03-QB1,M. Passer,QB,2099,2,REG,2099_02_BUF_MIA,MIA,BUF,15,28,150,0,3,0,0,0,0,0,0,0,0,0,0
03-RB1,M. Back,RB,2099,2,REG,2099_02_BUF_MIA,MIA,BUF,0,0,0,0,0,0,18,60,0,0,3,4,25,0,0
02-QB1,B. Passer,QB,2099,2,REG,2099_02_BUF_NYJ,BUF,NYJ,10,18,100,0,0,0,0,0,0,0,0,0,0,0,0
02-TE1,B. Tight,TE,2099,2,REG,2099_02_BUF_NYJ,BUF,NYJ,0,0,0,0,0,0,0,0,0,0,4,5,40,1,0
04-WR1,J. Wideout,WR,2099,2,REG,2099_02_BUF_NYJ,NYJ,BUF,0,0,0,0,0,0,0,0,0,0,7,12,90,0,0
00-QB1,K. Passer,QB,2099,20,POST,2099_20_STL_KC,KC,STL,30,40,500,5,0,0,0,0,0,0,0,0,0,0,0
