player_id,player_display_name,position,season,week,season_type,team,targets,carries,receiving_air_yards,receiving_yards,receiving_epa,passing_air_yards,target_share,air_yards_share,wopr,racr
00-QB1,Q. One,QB,2099,1,REG,KC,0,1,0,0,0.0,100,NA,NA,NA,NA
00-WR1,W. One,WR,2099,1,REG,KC,6,0,60,50,4.0,0,0.6,0.6,1.32,0.833333
00-TE1,T. One,TE,2099,1,REG,KC,4,0,40,30,1.0,0,0.4,0.4,0.88,0.75
00-RB1,R. One,RB,2099,1,REG,KC,0,12,0,0,0.0,0,0.0,0.0,0.0,NA
00-QB1,Q. One,QB,2099,2,REG,KC,0,2,0,0,0.0,100,NA,NA,NA,NA
00-WR1,W. One,WR,2099,2,REG,KC,2,0,20,30,2.0,0,0.2,0.2,0.44,1.5
00-TE1,T. One,TE,2099,2,REG,KC,8,0,80,40,-1.0,0,0.8,0.8,1.76,0.5
00-RB1,R. One,RB,2099,2,REG,KC,0,10,0,0,0.0,0,0.0,0.0,0.0,NA
00-QB1,Q. One,QB,2099,3,REG,KC,0,0,0,0,0.0,100,NA,NA,NA,NA
00-TE1,T. One,TE,2099,3,REG,KC,10,0,100,60,3.0,0,1.0,1.0,2.2,0.6
00-RB1,R. One,RB,2099,3,REG,KC,0,8,0,0,0.0,0,0.0,0.0,0.0,NA
00-QB2,Q. Two,QB,2099,3,REG,SF,0,0,0,0,0.0,50,NA,NA,NA,NA
00-WR1,W. One,WR,2099,3,REG,SF,5,0,50,25,1.0,0,1.0,1.0,2.2,0.5
00-WR1,W. One,WR,2099,1,POST,KC,99,0,990,900,9.0,0,1.0,1.0,2.2,0.909091
