play_id,game_id,home_team,away_team,season_type,week,posteam,defteam,season,desc
10,2099_01_AAA_BBB,BBB,AAA,REG,1,AAA,BBB,2099,(shotgun) pass
20,2099_01_AAA_BBB,BBB,AAA,REG,1,AAA,BBB,2099,(shotgun) pass
30,2099_01_AAA_BBB,BBB,AAA,REG,1,AAA,BBB,2099,(shotgun) pass
40,2099_01_AAA_BBB,BBB,AAA,REG,1,AAA,BBB,2099,(shotgun) pass
70,2099_01_AAA_BBB,BBB,AAA,REG,1,AAA,BBB,2099,(shotgun) pass
80,2099_01_AAA_BBB,BBB,AAA,REG,1,AAA,BBB,2099,(shotgun) pass
50,2099_01_AAA_BBB,BBB,AAA,REG,1,BBB,AAA,2099,(shotgun) pass
60,2099_01_AAA_BBB,BBB,AAA,REG,1,BBB,AAA,2099,(shotgun) pass
90,2099_01_AAA_BBB,BBB,AAA,REG,1,,,2099,END QUARTER 1
10,2099_02_AAA_SD,SD,AAA,REG,2,AAA,SD,2099,(shotgun) pass
20,2099_02_AAA_SD,SD,AAA,REG,2,AAA,SD,2099,(shotgun) pass
10,2099_19_AAA_BBB,BBB,AAA,POST,19,AAA,BBB,2099,(shotgun) pass
